gtpu_access_tunnel_ip,count
 100.93.61.94          ,97
 100.95.23.156         ,97
 100.116.134.227       ,97
 100.100.223.66        ,97
 100.116.131.86        ,97
 100.117.112.230       ,97
 100.100.134.34        ,97
 100.103.135.228       ,97
 100.99.250.69         ,97
 100.99.253.4          ,97
 100.117.124.226       ,97
 100.101.85.5          ,97
 100.93.58.242         ,97
 10.36.82.109          ,97
 100.99.253.179        ,97
 100.99.141.198        ,97
 10.36.84.170          ,97
 100.99.133.179        ,97
 100.101.152.52        ,97
 100.116.130.195       ,97
 100.100.128.67        ,97
 10.36.53.236          ,97
 100.101.83.35         ,97
 100.102.67.195        ,97
 100.99.249.37         ,97
 100.100.139.136       ,97
 100.99.135.21         ,97
 10.97.9.219           ,97
 100.100.130.242       ,97
 100.93.56.73          ,97
 10.36.117.189         ,97
 100.102.68.213        ,97
 100.99.132.117        ,97
 100.99.246.228        ,97
 10.36.49.117          ,97
 100.99.248.229        ,97
 100.100.215.51        ,97
 100.117.123.18        ,97
 100.100.134.148       ,97
 100.117.113.199       ,97
 100.102.173.2         ,97
 100.101.152.194       ,97
 100.102.160.157       ,97
 100.99.134.55         ,97
 100.100.219.156       ,97
